Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,
2019-01-01,170.38226318359375,173.4499969482422,174.1999969482422,171.3000030517578,173.5,6715543,TATAMOTORS.NS
2019-01-02,165.5689239501953,168.5500030517578,171.75,168.0,170.60000610351562,13410104,TATAMOTORS.NS
2019-01-03,163.11314392089844,166.0500030517578,170.14999389648438,165.10000610351562,169.0,9321842,TATAMOTORS.NS
2019-01-04,167.92648315429688,170.9499969482422,171.9499969482422,168.5,169.0,17650435,TATAMOTORS.NS
2019-01-07,172.2486572265625,175.35000610351562,178.1999969482422,173.1999969482422,173.1999969482422,21438351,TATAMOTORS.NS
2019-01-08,176.7672882080078,179.9499969482422,180.5,176.10000610351562,176.10000610351562,20128985,TATAMOTORS.NS
2019-01-09,179.81248474121094,183.0500030517578,183.60000610351562,180.1999969482422,181.5,17468948,TATAMOTORS.NS
2019-01-10,182.46470642089844,185.75,186.85000610351562,183.5500030517578,183.64999389648438,16961888,TATAMOTORS.NS
2019-01-11,177.11111450195312,180.3000030517578,187.75,179.39999389648438,186.5500030517578,25902974,TATAMOTORS.NS
2019-01-14,179.17396545410156,182.39999389648438,198.3000030517578,177.4499969482422,180.3000030517578,18935120,TATAMOTORS.NS
2019-01-15,182.07179260253906,185.35000610351562,185.8000030517578,181.25,183.3000030517578,13536578,TATAMOTORS.NS
2019-01-16,182.17001342773438,185.4499969482422,187.35000610351562,184.0500030517578,186.0,11874245,TATAMOTORS.NS
2019-01-17,181.62974548339844,184.89999389648438,187.3000030517578,183.39999389648438,186.0,9365756,TATAMOTORS.NS
2019-01-18,180.05804443359375,183.3000030517578,185.64999389648438,181.3000030517578,185.64999389648438,6797621,TATAMOTORS.NS
2019-01-21,178.28988647460938,181.5,184.9499969482422,180.64999389648438,184.3000030517578,6918258,TATAMOTORS.NS
2019-01-22,177.65138244628906,180.85000610351562,181.5,175.9499969482422,181.5,9775717,TATAMOTORS.NS
2019-01-23,177.06198120117188,180.25,182.6999969482422,178.5500030517578,181.6999969482422,9778926,TATAMOTORS.NS
2019-01-24,172.2977752685547,175.39999389648438,180.3000030517578,173.6999969482422,180.0,13461254,TATAMOTORS.NS
2019-01-25,170.18580627441406,173.25,178.89999389648438,171.9499969482422,175.9499969482422,12136892,TATAMOTORS.NS
2019-01-28,169.2526092529297,172.3000030517578,175.35000610351562,169.39999389648438,173.3000030517578,8167430,TATAMOTORS.NS
2019-01-29,170.52960205078125,173.60000610351562,174.89999389648438,170.89999389648438,172.35000610351562,6141180,TATAMOTORS.NS
2019-01-30,171.51193237304688,174.60000610351562,176.75,173.3000030517578,174.3000030517578,7757847,TATAMOTORS.NS
2019-01-31,177.9951934814453,181.1999969482422,183.89999389648438,175.8000030517578,175.8000030517578,22277646,TATAMOTORS.NS
2019-02-01,178.4372100830078,181.64999389648438,185.89999389648438,179.5500030517578,182.0,14931422,TATAMOTORS.NS
2019-02-04,177.06198120117188,180.25,183.6999969482422,178.1999969482422,181.0,11854351,TATAMOTORS.NS
